FIPS,COUNTY_NAME,STATE_NAME,STATE_ABBR,AIRQUALTY_MEAN
26053,"Gogebic County",Michigan,MI,5.68998975754
46033,"Custer County","South Dakota",SD,5.6787474788
46069,"Hyde County","South Dakota",SD,5.67732833862
26013,"Baraga County",Michigan,MI,5.67028133571
31123,"Morrill County",Nebraska,NE,5.66421303219
49021,"Iron County",Utah,UT,5.6563185215
56019,"Johnson County",Wyoming,WY,5.65542229503
23015,"Lincoln County",Maine,ME,5.65076879355
08015,"Chaffee County",Colorado,CO,5.63727605343
23005,"Cumberland County",Maine,ME,5.62617960284
08029,"Delta County",Colorado,CO,5.62036808117
05101,"Newton County",Arkansas,AR,5.61688574155
46055,"Haakon County","South Dakota",SD,5.60999341597
31005,"Arthur County",Nebraska,NE,5.60927481121
16081,"Teton County",Idaho,ID,5.60461164923
31161,"Sheridan County",Nebraska,NE,5.59019440696
31045,"Dawes County",Nebraska,NE,5.58598639244
35041,"Roosevelt County","New Mexico",NM,5.58458366394
36041,"Hamilton County","New York",NY,5.5817357204
46107,"Potter County","South Dakota",SD,5.5800408572
51139,"Page County",Virginia,VA,5.57976086934
33013,"Merrimack County","New Hampshire",NH,5.57735073566
35047,"San Miguel County","New Mexico",NM,5.57681385096
36065,"Oneida County","New York",NY,5.57675489187
25001,"Barnstable County",Massachusetts,MA,5.5688497339
56027,"Niobrara County",Wyoming,WY,5.56839633542
53021,"Franklin County",Washington,WA,5.5612475872
31075,"Grant County",Nebraska,NE,5.5611780371
36043,"Herkimer County","New York",NY,5.55787391866
56015,"Goshen County",Wyoming,WY,5.5461663209
50007,"Chittenden County",Vermont,VT,5.54575636076
36089,"St. Lawrence County","New York",NY,5.53383375769
35011,"De Baca County","New Mexico",NM,5.53102132252
55007,"Bayfield County",Wisconsin,WI,5.53028890322
37177,"Tyrrell County","North Carolina",NC,5.5263759613
50017,"Orange County",Vermont,VT,5.51960629225
35009,"Curry County","New Mexico",NM,5.50719790025
46007,"Bennett County","South Dakota",SD,5.50087707471
46123,"Tripp County","South Dakota",SD,5.4848536253
41071,"Yamhill County",Oregon,OR,5.48063079834
35005,"Chaves County","New Mexico",NM,5.47704328606
32033,"White Pine County",Nevada,NV,5.47686795001
31007,"Banner County",Nebraska,NE,5.47539324988
37087,"Haywood County","North Carolina",NC,5.45262005925
46071,"Jackson County","South Dakota",SD,5.44826388014
23023,"Sagadahoc County",Maine,ME,5.44501965387
49019,"Grand County",Utah,UT,5.43470142768
31013,"Box Butte County",Nebraska,NE,5.42509004944
41067,"Washington County",Oregon,OR,5.4242379482
54093,"Tucker County","West Virginia",WV,5.42230008199
04007,"Gila County",Arizona,AZ,5.41292980249
35053,"Socorro County","New Mexico",NM,5.40656460505
54023,"Grant County","West Virginia",WV,5.40466199602
49053,"Washington County",Utah,UT,5.39250975667
